ID_POL;Fecha_Siniestro;TipoSin;Costes
B82471;03/11/2017;Daños Propios;307,21
B82471;03/11/2017;Daños Propios;313,18
B82471;03/08/2017;Daños Propios;909
B82488;01/04/2017;Daños Propios;210,56
B82523;27/09/2017;Daños Propios;692,45
B82529;29/09/2017;Daños Propios;170,4
B82529;29/09/2017;Daños Propios;222,3
B82529;29/09/2017;Daños Propios;230,72
B82529;30/09/2017;Daños Propios;448,62
B82529;29/09/2017;Daños Propios;474,05
B82529;29/09/2017;Daños Propios;502,84
B82535;20/10/2017;Daños Propios;2999,77
B82584;01/08/2017;Daños Propios;248,56
B82584;15/08/2017;Daños Propios;421,53
B82601;29/04/2017;Daños Propios;444,89
B82627;23/04/2017;Daños Propios;422,87
B82647;17/03/2017;Daños Propios;1198,47
B82668;22/09/2017;Daños Propios;140,53
B82668;17/09/2017;Daños Propios;159,14
B82671;23/10/2017;Daños Propios;2107,56
B82678;15/07/2017;Daños Propios;196,95
B82678;15/07/2017;Daños Propios;523,11
B82678;20/10/2017;Daños Propios;574,82
B82678;15/07/2017;Daños Propios;845,1
B82678;15/07/2017;Daños Propios;865,58
B82678;15/07/2017;Daños Propios;889,62
B82678;30/03/2017;Daños Propios;1197,78
B82679;03/11/2017;Daños Propios;186,23
B82679;03/11/2017;Daños Propios;200,93
B82679;03/11/2017;Daños Propios;288,23
B82679;03/11/2017;Daños Propios;415,44
B82688;06/02/2017;Daños Propios;341,98
B82688;29/07/2017;Daños Propios;767,28
B82692;18/09/2017;Daños Propios;3323,38
B82782;28/10/2017;Daños Propios;961,19
B82788;09/12/2017;Daños Propios;1075,35
B82806;04/08/2017;Daños Propios;729,68
B82822;19/04/2017;Daños Propios;1012,69
B82839;04/11/2017;Daños Propios;675,36
B82876;20/01/2017;Daños Propios;1282,44
B82945;23/10/2017;Daños Propios;132,59
B82945;23/10/2017;Daños Propios;364,16
B82962;29/01/2017;Daños Propios;295,57
B82984;17/02/2017;Daños Propios;179,44
B82996;10/08/2017;Daños Propios;299,73
B83015;14/04/2017;Daños Propios;11513,73
B83029;03/11/2017;Daños Propios;625,9
B83062;02/05/2017;Daños Propios;1198,2
B83135;20/04/2017;Daños Propios;266,86
B83138;01/11/2017;Daños Propios;203,64
B83138;01/11/2017;Daños Propios;314,88
B83138;01/11/2017;Daños Propios;336,98
B83138;02/03/2017;Daños Propios;346,52
B83138;01/11/2017;Daños Propios;377,49
B83138;01/11/2017;Daños Propios;412,05
B83140;05/06/2017;Daños Propios;610,01
B83163;03/11/2017;Daños Propios;196,14
B83163;03/11/2017;Daños Propios;828,56
B83170;25/03/2017;Daños Propios;290,29
B83170;12/11/2017;Daños Propios;324,28
B83170;24/03/2017;Daños Propios;624,63
B83179;12/03/2017;Daños Propios;968,93
B83181;11/09/2017;Daños Propios;193,31
B83181;11/09/2017;Daños Propios;264
B83187;06/05/2017;Daños Propios;299,73
B83187;12/10/2017;Daños Propios;437,6
B83210;26/08/2017;Daños Propios;180,65
B83210;26/08/2017;Daños Propios;387,38
B83210;26/08/2017;Daños Propios;573,78
B83218;20/10/2017;Daños Propios;255,84
B83218;20/10/2017;Daños Propios;278,99
B83273;16/11/2017;Daños Propios;1878,58
B83276;21/07/2017;Daños Propios;251,66
B83294;17/09/2017;Daños Propios;154,31
B83294;17/09/2017;Daños Propios;295,35
B83294;04/11/2017;Daños Propios;339,05
B83294;07/11/2017;Daños Propios;359,31
B83294;17/03/2017;Daños Propios;397,69
B83294;17/03/2017;Daños Propios;435,2
B83294;17/09/2017;Daños Propios;474,91
B83294;17/09/2017;Daños Propios;551,93
B83294;17/09/2017;Daños Propios;884,79
B83308;20/10/2017;Daños Propios;487,33
B83308;20/10/2017;Daños Propios;1519,21
B83332;20/09/2017;Daños Propios;465,06
B83338;01/09/2017;Daños Propios;210,96
B83338;01/08/2017;Daños Propios;295,76
B83338;01/09/2017;Daños Propios;365,08
B83338;01/08/2017;Daños Propios;497,05
B83338;01/09/2017;Daños Propios;614,69
B83347;02/12/2017;Daños Propios;1222,95
B83380;26/11/2017;Daños Propios;83,59
B83389;15/10/2017;Daños Propios;180,72
B83389;15/10/2017;Daños Propios;198,54
B83391;29/10/2017;Daños Propios;139
B83394;28/08/2017;Daños Propios;709,06
B83415;25/09/2017;Daños Propios;316,18
B83423;11/11/2017;Daños Propios;865,19
B83427;25/03/2017;Daños Propios;472,47
B83427;10/03/2017;Daños Propios;730,03
B83427;15/03/2017;Daños Propios;797,59
B83447;15/10/2017;Daños Propios;254,06
B83447;15/10/2017;Daños Propios;305,02
B83447;15/10/2017;Daños Propios;580,21
B83447;15/10/2017;Daños Propios;784,21
