ID_POL;Antigüedad;Forma_Pago;Comb;Sexo;Bonus_RC;start_date;end_date;Expuestos;Edad_FMT;Valor_FMT;Potencia_FMT;Peso_FMT;Carnet_FMT
B80143;5;A;D;1;50;42736;43086;350;05.50-65;05.24-30k;04.110-130;05. 1600;04.8-
B80144;10;A;G;2;50;42736;43043;307;02.25-28;01.<10k;02.70-90;03. 1200;03.5-7
B80145;10;A;G;1;50;42736;43043;307;06.>=65;02.10-16k;03.90-110;03. 1200;04.8-
B80146;10;A;D;1;50;42736;43059;323;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80147;7;A;D;1;50;42736;43044;308;03.28-35;05.24-30k;05.130-150;06. 1800;04.8-
B80148;9;A;D;1;50;42736;43043;307;04.35-50;02.10-16k;03.90-110;05. 1600;04.8-
B80149;10;A;D;1;50;42736;42918;182;05.50-65;01.<10k;01.<70;04. 1400;04.8-
B80149;10;A;D;1;50;42919;43059;140;05.50-65;01.<10k;01.<70;04. 1400;04.8-
B80150;6;A;D;2;50;42736;43057;321;05.50-65;02.10-16k;03.90-110;03. 1200;04.8-
B80151;1;A;D;1;50;42736;43024;288;06.>=65;04.20-24k;04.110-130;05. 1600;04.8-
B80151;1;A;D;1;50;43025;43043;18;06.>=65;04.20-24k;04.110-130;05. 1600;04.8-
B80152;10;A;G;1;50;42736;43043;307;05.50-65;02.10-16k;04.110-130;03. 1200;04.8-
B80153;10;A;D;1;50;42736;43044;308;04.35-50;03.16-20k;03.90-110;04. 1400;04.8-
B80154;6;A;D;1;10;42736;43044;308;04.35-50;04.20-24k;05.130-150;07. >1800;04.8-
B80155;10;T;D;2;10;42736;43043;307;01.18-25;02.10-16k;03.90-110;03. 1200;01.0-1
B80156;10;A;D;1;50;42736;43043;307;04.35-50;04.20-24k;04.110-130;07. >1800;04.8-
B80157;10;A;D;1;50;42736;43043;307;04.35-50;04.20-24k;04.110-130;05. 1600;04.8-
B80158;7;A;D;2;50;42736;43043;307;03.28-35;02.10-16k;02.70-90;03. 1200;04.8-
B80159;6;A;D;2;20;42736;43043;307;03.28-35;01.<10k;01.<70;02. 1000;04.8-
B80160;3;T;D;2;0;42736;42770;34;05.50-65;02.10-16k;03.90-110;04. 1400;04.8-
B80161;7;A;D;2;50;42736;43049;313;04.35-50;02.10-16k;04.110-130;04. 1400;04.8-
