ID_POL;Antigüedad;Forma_Pago;Potencia;Peso;Valor;Comb;Sexo;Edad;Carnet;Bonus_RC;start_date;end_date
B80170;6;A;140;1329;18747,97;D;1;31;10;50;01/01/2017;07/11/2017
B80171;10;A;105;1290;16526,49;D;2;40;10;50;01/01/2017;24/11/2017
B80173;6;A;100;1150;13876,01;D;1;38;4;40;01/01/2017;04/11/2017
B80174;10;A;65;980;9246,19;D;2;36;10;50;01/01/2017;04/11/2017
B80175;7;A;120;1428;20964,6;D;1;35;10;20;01/01/2017;03/12/2017
B80176;8;A;150;1301;17953,09;D;1;39;10;50;01/01/2017;05/11/2017
B80177;0;A;105;1013;13037,82;G;1;38;10;50;11/03/2017;04/11/2017
B80177;10;A;120;1109;12520,09;G;1;38;10;50;01/01/2017;04/11/2017
B80178;5;A;70;1048;12997,65;D;2;29;5;50;01/01/2017;30/12/2017
B80179;10;A;80;980;10140,5;D;2;46;10;50;01/01/2017;14/11/2017
B80180;10;A;65;1150;8951,66;D;2;33;9;50;01/01/2017;07/11/2017
B80181;1;A;75;1160;13091,22;D;1;29;3;50;01/01/2017;04/11/2017
B80182;9;A;82;997;8276,93;G;1;48;10;50;01/01/2017;05/11/2017
B80183;9;A;112;960;10846,39;G;1;32;10;20;01/01/2017;12/11/2017
B80184;10;A;75;860;8409,15;G;1;64;10;50;01/01/2017;04/11/2017
B80185;10;A;110;1561;14991,1;D;1;46;10;50;01/01/2017;04/11/2017
B80186;10;A;90;1204;12708,25;D;1;27;9;40;01/01/2017;05/11/2017
B80187;9;A;65;995;9656,41;D;1;54;10;50;01/01/2017;04/11/2017
B80189;5;A;90;1280;14601,05;D;1;54;10;50;01/01/2017;04/11/2017
B80190;8;A;100;1188;13707,93;D;2;46;6;50;01/01/2017;20/12/2017
B80191;10;A;110;1166;13568,26;G;1;33;6;50;01/01/2017;04/11/2017
B80192;1;A;132;1205;16787,65;G;1;51;10;50;01/01/2017;05/11/2017
B80193;10;A;80;1195;14010,23;D;1;26;6;20;14/07/2017;04/11/2017
B80193;10;A;68;1125;10679,52;D;1;26;6;20;01/01/2017;13/07/2017
B80194;10;A;71;1159;11952,98;D;2;49;4;50;01/01/2017;10/11/2017
B80195;9;A;115;1507;17346,29;D;1;40;10;50;01/01/2017;04/11/2017
B80196;7;A;80;1131;12295,74;D;1;52;10;0;01/01/2017;02/12/2017
B80197;10;A;64;1095;9091,46;D;1;40;10;50;01/01/2017;16/12/2017
B80198;5;A;90;1300;16391,85;D;1;41;10;50;01/01/2017;04/11/2017
B80199;6;A;105;1239;17648,98;D;1;26;7;50;01/01/2017;04/11/2017
B80202;5;T;265;1455;30900,86;G;1;29;10;50;01/01/2017;19/10/2017
B80202;5;T;265;1455;30900,86;G;1;29;10;50;20/10/2017;05/11/2017
B80203;10;S;90;1185;12205,33;D;1;36;10;10;01/01/2017;04/11/2017
B80204;8;A;70;1089;12548,67;D;1;55;10;50;01/01/2017;05/11/2017
B80205;7;S;140;1240;24756,25;G;1;36;10;50;01/01/2017;05/11/2017
B80206;10;A;138;1130;14658,83;G;1;48;10;50;01/01/2017;11/12/2017
B80206;10;A;138;1130;14658,83;G;1;48;10;50;12/12/2017;31/12/2017
B80207;10;A;130;1387;21042,43;D;1;49;10;50;01/01/2017;04/11/2017
B80208;5;A;110;1495;19415,47;D;1;42;10;50;01/01/2017;28/11/2017
B80209;10;A;75;1057;9274;G;1;36;10;10;01/01/2017;15/10/2017
B80209;10;A;75;1057;9274;G;1;36;10;10;30/10/2017;29/12/2017
B80209;10;A;75;1057;9274;G;1;36;10;10;16/10/2017;29/10/2017
B80210;8;A;90;1200;13851,64;D;1;51;10;50;01/01/2017;04/11/2017
B80211;8;A;90;1485;13629,31;D;1;33;10;50;01/01/2017;05/11/2017
B80212;10;A;110;1485;17145,31;D;1;38;10;50;01/01/2017;23/07/2017
B80213;10;A;45;740;3275,52;G;2;45;10;0;01/01/2017;04/11/2017
B80214;10;A;105;1287;17545,39;D;1;70;10;50;01/01/2017;04/11/2017
B80215;10;A;90;1070;10813,44;G;1;45;10;50;01/01/2017;12/11/2017
B80216;9;A;98;1160;11685,22;G;1;53;10;50;01/01/2017;30/11/2017
B80217;10;A;110;1000;11034,81;G;1;29;10;50;01/01/2017;18/11/2017
B80218;7;A;140;1504;21396,19;D;1;44;10;50;01/01/2017;08/12/2017
B80219;10;A;122;2030;20110,47;D;1;55;10;50;01/01/2017;28/12/2017
B80220;10;S;110;1286;15416,21;D;1;44;10;50;01/01/2017;04/11/2017
B80221;4;A;120;1410;20564,04;D;1;41;10;50;14/05/2017;04/11/2017
B80221;4;A;120;1410;20564,04;D;1;41;10;50;01/04/2017;27/04/2017
B80221;4;A;120;1410;20564,04;D;1;41;10;50;28/04/2017;13/05/2017
B80221;10;A;136;1535;24309,23;D;1;41;10;50;01/01/2017;31/03/2017
B80222;3;A;109;1364;20277,83;D;1;30;9;40;01/01/2017;04/11/2017
B80223;8;A;120;1448;20916,16;D;1;44;8;50;01/01/2017;05/11/2017
B80225;10;A;68;1215;9856,6;D;2;47;10;50;01/01/2017;21/10/2017
B80225;10;A;68;1215;9856,6;D;2;47;10;50;22/10/2017;05/11/2017
B80226;10;A;60;880;7747,42;D;1;76;10;50;01/01/2017;04/11/2017
B80227;10;A;60;860;7109,13;G;1;28;8;50;01/01/2017;04/11/2017
B80228;10;A;70;1010;9577,1;D;1;50;10;50;01/01/2017;05/11/2017
B80229;3;A;120;1324;17914,41;G;1;31;10;20;01/01/2017;30/11/2017
B80230;9;A;90;1290;16968,52;D;1;43;10;50;01/01/2017;18/11/2017
B80231;10;A;75;1170;12770,49;D;1;37;10;20;01/01/2017;04/11/2017
B80232;1;A;98;1320;14178,98;G;1;69;10;50;01/01/2017;04/11/2017
B80233;10;A;90;1485;13232,76;D;1;30;10;50;01/01/2017;04/11/2017
B80234;4;A;90;1290;17862,83;D;1;50;10;40;01/01/2017;23/11/2017
B80235;9;A;70;1022;11500;D;2;45;10;50;01/01/2017;28/12/2017
B80236;9;A;65;1055;11798,75;D;1;34;10;50;01/01/2017;04/11/2017
B80237;6;A;71;1035;10996,08;D;2;33;10;40;01/01/2017;14/11/2017
B80238;8;A;80;1195;14099,66;D;2;38;10;30;01/01/2017;30/11/2017
B80239;10;A;110;1360;14536,67;D;1;38;9;40;14/04/2017;28/09/2017
B80239;10;A;110;1360;14536,67;D;1;38;9;40;29/09/2017;04/11/2017
B80239;10;A;107;1270;12948,64;G;1;38;9;40;01/01/2017;13/04/2017
B80240;10;A;60;945;9545,14;D;1;30;10;50;01/01/2017;05/11/2017
B80241;10;A;110;1421;17072,14;D;1;40;10;50;01/01/2017;05/11/2017
B80242;8;A;90;1165;13308,94;G;2;31;10;50;01/01/2017;30/12/2017
B80243;9;A;143;1830;23910,94;D;2;31;9;20;01/01/2017;05/11/2017
B80244;10;A;64;1090;9919,31;D;1;44;10;0;01/01/2017;04/11/2017
B80247;10;A;5,4;350;7519,98;D;1;61;10;50;01/01/2017;04/11/2017
B80248;2;A;120;1089;15769,47;G;1;68;10;50;01/01/2017;04/11/2017
B80249;10;A;58;910;8478,94;D;2;41;10;50;01/01/2017;04/11/2017
B80250;6;A;120;1350;17560,98;D;2;36;8;50;28/01/2017;31/12/2017
B80251;10;A;90;1151;12313,42;D;1;35;10;50;01/01/2017;04/11/2017
B80252;10;A;90;1300;14625,94;D;1;49;10;50;01/01/2017;28/11/2017
B80253;7;A;140;1379;19317,07;D;1;42;10;30;01/01/2017;05/11/2017
B80254;10;A;64;1125;10801,23;D;1;60;10;40;01/01/2017;04/11/2017
B80255;7;A;115;1415;15799,19;D;1;54;10;50;01/01/2017;04/11/2017
B80256;5;A;136;1498;19976,14;D;1;42;10;50;01/01/2017;25/11/2017
B80257;10;A;51;776;5374,91;G;2;41;10;50;01/01/2017;22/11/2017
B80258;10;A;65;1110;10406,32;D;1;70;10;50;01/01/2017;04/11/2017
B80259;1;S;86;1065;14186,99;G;2;29;3;50;01/01/2017;04/11/2017
B80260;8;A;105;1240;16985,84;D;1;61;10;50;01/01/2017;04/11/2017
B80261;4;A;110;1322;16162,6;D;1;27;8;50;01/01/2017;24/11/2017
B80262;10;A;110;1259;12899,77;D;1;35;10;50;01/01/2017;29/10/2017
B80262;10;A;110;1259;12899,77;D;1;35;10;50;30/10/2017;20/11/2017
B80264;4;S;70;947;10870,46;D;2;49;5;50;01/01/2017;04/11/2017
